INFO:werkzeug: * Detected change in '/home/cserv1_a/soc_msc/sc21ak/Webdev/cwk2/app/views.py', reloading
2022-12-15 09:17:18,636 INFO werkzeug Thread-7 : 127.0.0.1 - - [15/Dec/2022 09:17:18] "GET /login HTTP/1.1" 200 -
2022-12-15 09:17:18,673 INFO werkzeug Thread-8 : 127.0.0.1 - - [15/Dec/2022 09:17:18] "GET /static/css/styles.css HTTP/1.1" 200 -
2022-12-15 09:17:18,674 INFO werkzeug Thread-9 : 127.0.0.1 - - [15/Dec/2022 09:17:18] "[36mGET /static/js/scripts.js HTTP/1.1[0m" 304 -
2022-12-15 09:17:18,791 INFO werkzeug Thread-10 : 127.0.0.1 - - [15/Dec/2022 09:17:18] "[33mGET /favicon.ico HTTP/1.1[0m" 404 -
2022-12-15 09:17:28,860 ERROR app Thread-11 : Exception on /login/landing_page [POST]
Traceback (most recent call last):
  File "/home/cserv1_a/soc_msc/sc21ak/flask/lib/python3.6/site-packages/flask/app.py", line 2073, in wsgi_app
    response = self.full_dispatch_request()
  File "/home/cserv1_a/soc_msc/sc21ak/flask/lib/python3.6/site-packages/flask/app.py", line 1518, in full_dispatch_request
    rv = self.handle_user_exception(e)
  File "/home/cserv1_a/soc_msc/sc21ak/flask/lib/python3.6/site-packages/flask/app.py", line 1516, in full_dispatch_request
    rv = self.dispatch_request()
  File "/home/cserv1_a/soc_msc/sc21ak/flask/lib/python3.6/site-packages/flask/app.py", line 1502, in dispatch_request
